GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000002,2,201587,Nicolas Batum,1610612757,Portland Trail Blazers,1,11,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,6,201587,Nicolas Batum,1610612757,Portland Trail Blazers,1,11,2,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,11,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,10,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-204,127,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,24,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,8,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,31,948,Marcus Camby,1610612757,Portland Trail Blazers,1,7,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,25,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,40,201587,Nicolas Batum,1610612757,Portland Trail Blazers,1,6,38,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,57,948,Marcus Camby,1610612757,Portland Trail Blazers,1,4,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-15,200,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,60,948,Marcus Camby,1610612757,Portland Trail Blazers,1,4,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,17,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,77,201967,Dante Cunningham,1610612757,Portland Trail Blazers,1,2,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,17,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,81,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,1,56,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,58,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,121,201164,Rudy Fernandez,1610612757,Portland Trail Blazers,2,11,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,1,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,135,201967,Dante Cunningham,1610612757,Portland Trail Blazers,2,9,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-205,36,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,138,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,9,36,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,163,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,7,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,172,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,6,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,102,153,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,179,948,Marcus Camby,1610612757,Portland Trail Blazers,2,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-73,160,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,201,1889,Andre Miller,1610612757,Portland Trail Blazers,2,4,1,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-82,0,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,216,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,2,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,238,1889,Andre Miller,1610612757,Portland Trail Blazers,2,1,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,270,201587,Nicolas Batum,1610612757,Portland Trail Blazers,3,10,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,0,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,280,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,3,9,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,289,948,Marcus Camby,1610612757,Portland Trail Blazers,3,8,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,20,198,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,295,1889,Andre Miller,1610612757,Portland Trail Blazers,3,7,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,304,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,6,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,310,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,5,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,14,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,319,201164,Rudy Fernandez,1610612757,Portland Trail Blazers,3,5,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-87,231,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,325,948,Marcus Camby,1610612757,Portland Trail Blazers,3,4,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,352,201967,Dante Cunningham,1610612757,Portland Trail Blazers,3,2,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-169,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,357,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,1,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,147,131,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,363,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,0,51,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,22,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,391,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,11,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,-13,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,397,202356,Armon Johnson,1610612757,Portland Trail Blazers,4,10,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,-2,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,402,202356,Armon Johnson,1610612757,Portland Trail Blazers,4,9,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-68,61,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,418,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,8,44,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,3,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,424,202356,Armon Johnson,1610612757,Portland Trail Blazers,4,8,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,7,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,443,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,4,6,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-10,135,1,1,20101026,POR,PHX
