GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000013,2,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,11,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-4,116,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,6,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,10,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,19,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,13,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,10,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,20,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,9,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-168,26,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,27,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,9,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,30,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,8,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,46,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,7,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-4,200,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,48,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,7,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,15,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,59,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,6,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-138,156,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,62,1710,Mike Bibby,1610612763,Vancouver Grizzlies,1,5,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,115,184,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,73,735,Bryant Reeves,1610612763,Vancouver Grizzlies,1,4,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-42,120,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,82,1710,Mike Bibby,1610612763,Vancouver Grizzlies,1,3,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-84,156,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,91,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,2,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,94,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,1,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,105,1710,Mike Bibby,1610612763,Vancouver Grizzlies,1,0,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,114,3,Grant Long,1610612763,Vancouver Grizzlies,1,0,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,123,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,11,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,130,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,2,10,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,15,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,133,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,10,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,147,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,2,9,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-147,156,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,162,3,Grant Long,1610612763,Vancouver Grizzlies,2,7,58,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,49,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,167,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,2,7,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,70,76,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,188,1710,Mike Bibby,1610612763,Vancouver Grizzlies,2,5,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,55,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,221,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,2,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-84,144,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,239,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,0,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,260,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,3,10,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,178,76,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,271,236,Kevin Edwards,1610612763,Vancouver Grizzlies,3,9,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,169,26,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,279,1710,Mike Bibby,1610612763,Vancouver Grizzlies,3,8,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,157,99,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,306,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,3,4,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,-6,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,374,1134,Ike Austin,1610612763,Vancouver Grizzlies,4,11,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,100,184,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,376,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,4,11,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,30,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,384,1134,Ike Austin,1610612763,Vancouver Grizzlies,4,10,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,115,127,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,391,1134,Ike Austin,1610612763,Vancouver Grizzlies,4,9,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-96,156,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,394,1134,Ike Austin,1610612763,Vancouver Grizzlies,4,8,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,115,228,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,404,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,4,7,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,30,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,409,1800,Damon Jones,1610612763,Vancouver Grizzlies,4,6,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-195,171,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,420,1710,Mike Bibby,1610612763,Vancouver Grizzlies,4,5,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-18,228,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,426,1710,Mike Bibby,1610612763,Vancouver Grizzlies,4,4,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,432,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,4,3,46,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000027,9,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,10,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-132,152,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,11,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,10,23,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-82,114,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,20,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,9,13,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-23,57,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,24,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,8,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,228,129,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,26,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,7,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-138,125,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,32,1710,Mike Bibby,1610612763,Vancouver Grizzlies,1,6,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,91,152,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,37,735,Bryant Reeves,1610612763,Vancouver Grizzlies,1,6,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,43,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,1,6,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-197,200,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,51,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,1,4,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-138,19,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,68,1710,Mike Bibby,1610612763,Vancouver Grizzlies,1,3,36,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-10,118,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,72,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,2,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,95,970,Othella Harrington,1610612763,Vancouver Grizzlies,1,0,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,104,1134,Ike Austin,1610612763,Vancouver Grizzlies,2,11,44,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,47,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,117,236,Kevin Edwards,1610612763,Vancouver Grizzlies,2,10,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,139,1800,Damon Jones,1610612763,Vancouver Grizzlies,2,8,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,85,262,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,146,2031,Stromile Swift,1610612763,Vancouver Grizzlies,2,7,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,158,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,2,6,38,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-10,80,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,174,970,Othella Harrington,1610612763,Vancouver Grizzlies,2,5,10,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-58,70,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,192,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,4,2,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-10,76,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,201,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,2,3,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-162,125,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,207,949,Shareef Abdur-Rahim,1610612763,Vancouver Grizzlies,2,1,45,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,214,970,Othella Harrington,1610612763,Vancouver Grizzlies,2,1,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,4,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,217,970,Othella Harrington,1610612763,Vancouver Grizzlies,2,0,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-88,76,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,221,970,Othella Harrington,1610612763,Vancouver Grizzlies,2,0,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-52,76,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,227,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,3,11,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,106,245,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,232,1722,Michael Dickerson,1610612763,Vancouver Grizzlies,3,11,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,113,76,1,1,20001102,LAC,VAN
