GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000004,3,2069,Hanno Mottola,1610612737,Atlanta Hawks,1,11,46,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,21,754,Jim Jackson,1610612737,Atlanta Hawks,1,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,15,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,38,673,Alan Henderson,1610612737,Atlanta Hawks,1,8,23,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,75,1544,Chris Crawford,1610612737,Atlanta Hawks,1,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,103,1683,Larry Robinson,1610612737,Atlanta Hawks,1,1,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,9,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,112,673,Alan Henderson,1610612737,Atlanta Hawks,1,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,126,673,Alan Henderson,1610612737,Atlanta Hawks,2,11,35,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,141,673,Alan Henderson,1610612737,Atlanta Hawks,2,10,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,15,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,144,1728,Roshown McLeod,1610612737,Atlanta Hawks,2,9,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-124,186,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,152,2069,Hanno Mottola,1610612737,Atlanta Hawks,2,8,36,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-44,135,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,163,673,Alan Henderson,1610612737,Atlanta Hawks,2,7,54,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,9,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,165,1683,Larry Robinson,1610612737,Atlanta Hawks,2,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,141,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,167,673,Alan Henderson,1610612737,Atlanta Hawks,2,6,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,175,1683,Larry Robinson,1610612737,Atlanta Hawks,2,5,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,15,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,190,1891,Jason Terry,1610612737,Atlanta Hawks,2,4,51,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,42,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,204,754,Jim Jackson,1610612737,Atlanta Hawks,2,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,212,2069,Hanno Mottola,1610612737,Atlanta Hawks,2,2,25,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,9,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,231,1074,Matt Maloney,1610612737,Atlanta Hawks,2,1,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,186,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,233,1683,Larry Robinson,1610612737,Atlanta Hawks,2,0,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-1,87,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,266,754,Jim Jackson,1610612737,Atlanta Hawks,3,9,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,285,673,Alan Henderson,1610612737,Atlanta Hawks,3,7,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,289,1728,Roshown McLeod,1610612737,Atlanta Hawks,3,6,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,9,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,291,1891,Jason Terry,1610612737,Atlanta Hawks,3,5,57,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,306,1683,Larry Robinson,1610612737,Atlanta Hawks,3,4,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-71,91,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,364,754,Jim Jackson,1610612737,Atlanta Hawks,4,11,13,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,379,673,Alan Henderson,1610612737,Atlanta Hawks,4,9,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,404,1683,Larry Robinson,1610612737,Atlanta Hawks,4,7,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-130,80,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,410,673,Alan Henderson,1610612737,Atlanta Hawks,4,6,15,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,438,1683,Larry Robinson,1610612737,Atlanta Hawks,4,3,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-145,219,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000004,443,1683,Larry Robinson,1610612737,Atlanta Hawks,4,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,196,1,1,20001031,ATL,CHH
Shot Chart Detail,0020000021,5,2069,Hanno Mottola,1610612737,Atlanta Hawks,1,11,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,NYK,ATL
