GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000001,8,2544,LeBron James,1610612748,Miami Heat,1,10,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,144,135,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,24,2544,LeBron James,1610612748,Miami Heat,1,8,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-190,4,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,38,2547,Chris Bosh,1610612748,Miami Heat,1,6,13,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,58,201202,Joel Anthony,1610612748,Miami Heat,1,4,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,12,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,118,2617,Udonis Haslem,1610612748,Miami Heat,2,10,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,125,2548,Dwyane Wade,1610612748,Miami Heat,2,9,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,172,2548,Dwyane Wade,1610612748,Miami Heat,2,5,58,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,175,2067,Eddie House,1610612748,Miami Heat,2,5,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,26,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,199,2544,LeBron James,1610612748,Miami Heat,2,3,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,64,206,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,216,2067,Eddie House,1610612748,Miami Heat,2,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,110,220,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,232,2544,LeBron James,1610612748,Miami Heat,2,0,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,274,2547,Chris Bosh,1610612748,Miami Heat,3,9,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-8,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,306,2544,LeBron James,1610612748,Miami Heat,3,6,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-3,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,308,2306,Carlos Arroyo,1610612748,Miami Heat,3,6,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,127,138,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,331,2547,Chris Bosh,1610612748,Miami Heat,3,4,53,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,3,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,352,2544,LeBron James,1610612748,Miami Heat,3,2,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,155,194,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,354,2544,LeBron James,1610612748,Miami Heat,3,2,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,61,209,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,367,2067,Eddie House,1610612748,Miami Heat,3,1,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-223,115,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,377,2544,LeBron James,1610612748,Miami Heat,3,0,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,408,2617,Udonis Haslem,1610612748,Miami Heat,4,10,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,412,2617,Udonis Haslem,1610612748,Miami Heat,4,9,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,20,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,422,2592,James Jones,1610612748,Miami Heat,4,8,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,7,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,435,2548,Dwyane Wade,1610612748,Miami Heat,4,6,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,437,2592,James Jones,1610612748,Miami Heat,4,5,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,12,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,478,2544,LeBron James,1610612748,Miami Heat,4,2,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,200,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,489,2548,Dwyane Wade,1610612748,Miami Heat,4,1,28,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,25,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000001,492,2544,LeBron James,1610612748,Miami Heat,4,1,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,-6,1,1,20101026,BOS,MIA
Shot Chart Detail,0021000006,5,2548,Dwyane Wade,1610612748,Miami Heat,1,11,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20101027,PHI,MIA
Shot Chart Detail,0021000006,17,2306,Carlos Arroyo,1610612748,Miami Heat,1,9,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,-16,1,1,20101027,PHI,MIA
Shot Chart Detail,0021000006,36,2544,LeBron James,1610612748,Miami Heat,1,7,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20101027,PHI,MIA
Shot Chart Detail,0021000006,55,2547,Chris Bosh,1610612748,Miami Heat,1,5,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,1,20101027,PHI,MIA
Shot Chart Detail,0021000006,67,2547,Chris Bosh,1610612748,Miami Heat,1,4,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20101027,PHI,MIA
