GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000010,9,935,Bryon Russell,1610612762,Utah Jazz,1,10,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,11,317,John Starks,1610612762,Utah Jazz,1,10,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,21,252,Karl Malone,1610612762,Utah Jazz,1,9,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-200,-4,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,47,252,Karl Malone,1610612762,Utah Jazz,1,5,46,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,52,252,Karl Malone,1610612762,Utah Jazz,1,5,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,1,152,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,70,252,Karl Malone,1610612762,Utah Jazz,1,3,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,75,252,Karl Malone,1610612762,Utah Jazz,1,2,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-170,-4,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,77,317,John Starks,1610612762,Utah Jazz,1,2,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-103,177,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,98,935,Bryon Russell,1610612762,Utah Jazz,1,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-200,141,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,119,252,Karl Malone,1610612762,Utah Jazz,2,10,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,UTA,LAC
