GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000012,3,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,11,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,63,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,14,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,10,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,24,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,8,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,35,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,7,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-101,135,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,48,166,Ron Harper,1610612747,Los Angeles Lakers,1,6,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,56,296,Rick Fox,1610612747,Los Angeles Lakers,1,5,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-166,135,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,67,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,4,19,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,15,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,71,166,Ron Harper,1610612747,Los Angeles Lakers,1,3,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,16,249,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,79,296,Rick Fox,1610612747,Los Angeles Lakers,1,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,198,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,87,1731,Tyronn Lue,1610612747,Los Angeles Lakers,1,1,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,127,1904,Devean George,1610612747,Los Angeles Lakers,2,9,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,11,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,143,375,Isaiah Rider,1610612747,Los Angeles Lakers,2,8,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-151,118,1,1,20001031,POR,LAL
