GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000003,5,680,John Amaechi,1610612753,Orlando Magic,1,11,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,9,1503,Tracy McGrady,1610612753,Orlando Magic,1,10,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-16,245,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,31,1503,Tracy McGrady,1610612753,Orlando Magic,1,9,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,207,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,44,255,Grant Hill,1610612753,Orlando Magic,1,7,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,50,680,John Amaechi,1610612753,Orlando Magic,1,6,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,53,353,Darrell Armstrong,1610612753,Orlando Magic,1,6,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,4,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,71,1503,Tracy McGrady,1610612753,Orlando Magic,1,4,45,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,75,1503,Tracy McGrady,1610612753,Orlando Magic,1,4,3,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,98,-6,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,83,1720,Michael Doleac,1610612753,Orlando Magic,1,3,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,148,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,86,353,Darrell Armstrong,1610612753,Orlando Magic,1,3,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,103,255,Grant Hill,1610612753,Orlando Magic,1,1,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,62,70,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,106,1727,Pat Garrity,1610612753,Orlando Magic,1,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-202,129,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,116,1727,Pat Garrity,1610612753,Orlando Magic,1,0,34,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,-17,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,134,1503,Tracy McGrady,1610612753,Orlando Magic,2,10,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,161,125,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,155,42,Monty Williams,1610612753,Orlando Magic,2,9,2,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,192,353,Darrell Armstrong,1610612753,Orlando Magic,2,6,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,146,57,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,197,1503,Tracy McGrady,1610612753,Orlando Magic,2,6,6,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,202,2034,Mike Miller,1610612753,Orlando Magic,2,5,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,234,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,213,2034,Mike Miller,1610612753,Orlando Magic,2,5,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,231,448,Bo Outlaw,1610612753,Orlando Magic,2,3,41,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,36,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,278,680,John Amaechi,1610612753,Orlando Magic,3,11,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-8,196,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,285,448,Bo Outlaw,1610612753,Orlando Magic,3,10,30,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,287,680,John Amaechi,1610612753,Orlando Magic,3,9,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
Shot Chart Detail,0020000003,302,680,John Amaechi,1610612753,Orlando Magic,3,8,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,ORL,WAS
