GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000014,2,2403,Nene,1610612743,Denver Nuggets,1,11,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,177,60,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,13,2403,Nene,1610612743,Denver Nuggets,1,10,19,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,3,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,20,201167,Arron Afflalo,1610612743,Denver Nuggets,1,9,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,20,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,26,200749,Shelden Williams,1610612743,Denver Nuggets,1,8,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,28,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,70,1733,Al Harrington,1610612743,Denver Nuggets,1,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,64,175,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,92,1733,Al Harrington,1610612743,Denver Nuggets,1,4,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,225,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,98,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,3,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,101,201167,Arron Afflalo,1610612743,Denver Nuggets,1,3,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,9,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,121,1733,Al Harrington,1610612743,Denver Nuggets,1,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,204,164,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,131,1497,Chauncey Billups,1610612743,Denver Nuggets,1,1,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-109,162,1,1,20101027,DEN,UTA
