GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000010,6,2561,David West,1610612740,New Orleans Hornets,1,11,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-82,178,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,28,201158,Marco Belinelli,1610612740,New Orleans Hornets,1,9,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,39,101108,Chris Paul,1610612740,New Orleans Hornets,1,8,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,58,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,42,2561,David West,1610612740,New Orleans Hornets,1,8,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,73,189,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,53,2561,David West,1610612740,New Orleans Hornets,1,7,14,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-98,19,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,59,2772,Trevor Ariza,1610612740,New Orleans Hornets,1,6,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,73,201158,Marco Belinelli,1610612740,New Orleans Hornets,1,5,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,78,201158,Marco Belinelli,1610612740,New Orleans Hornets,1,4,57,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,59,64,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,99,101108,Chris Paul,1610612740,New Orleans Hornets,1,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,7,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,102,2772,Trevor Ariza,1610612740,New Orleans Hornets,1,3,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,131,201573,Jerryd Bayless,1610612740,New Orleans Hornets,1,2,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-46,39,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,141,2584,Willie Green,1610612740,New Orleans Hornets,1,2,8,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-4,137,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,182,201977,Marcus Thornton,1610612740,New Orleans Hornets,2,10,42,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,26,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,216,201977,Marcus Thornton,1610612740,New Orleans Hornets,2,7,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,14,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,234,2772,Trevor Ariza,1610612740,New Orleans Hornets,2,6,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,127,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,276,201158,Marco Belinelli,1610612740,New Orleans Hornets,2,2,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,323,2561,David West,1610612740,New Orleans Hornets,3,11,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-169,11,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,334,2561,David West,1610612740,New Orleans Hornets,3,9,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-40,149,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,347,2561,David West,1610612740,New Orleans Hornets,3,7,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,24,208,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,352,2561,David West,1610612740,New Orleans Hornets,3,7,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,94,175,1,1,20101027,NOH,MIL
Shot Chart Detail,0021000010,354,2561,David West,1610612740,New Orleans Hornets,3,6,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-157,91,1,1,20101027,NOH,MIL
