GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000011,48,53,Mario Elie,1610612756,Phoenix Suns,1,8,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,51,1890,Shawn Marion,1610612756,Phoenix Suns,1,7,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,45,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,56,361,Clifford Robinson,1610612756,Phoenix Suns,1,6,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,76,915,Rodney Rogers,1610612756,Phoenix Suns,1,5,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,83,916,Corie Blount,1610612756,Phoenix Suns,1,5,10,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,92,361,Clifford Robinson,1610612756,Phoenix Suns,1,4,41,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,136,960,Tony Delk,1610612756,Phoenix Suns,1,1,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,145,361,Clifford Robinson,1610612756,Phoenix Suns,1,0,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,158,467,Jason Kidd,1610612756,Phoenix Suns,2,10,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,49,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,161,467,Jason Kidd,1610612756,Phoenix Suns,2,10,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,172,960,Tony Delk,1610612756,Phoenix Suns,2,9,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,190,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,179,201,Chris Dudley,1610612756,Phoenix Suns,2,8,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,181,467,Jason Kidd,1610612756,Phoenix Suns,2,7,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,184,467,Jason Kidd,1610612756,Phoenix Suns,2,7,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,194,960,Tony Delk,1610612756,Phoenix Suns,2,7,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-4,160,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,211,1890,Shawn Marion,1610612756,Phoenix Suns,2,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-204,-15,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,221,2101,Paul McPherson,1610612756,Phoenix Suns,2,5,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,250,1890,Shawn Marion,1610612756,Phoenix Suns,2,3,7,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,254,361,Clifford Robinson,1610612756,Phoenix Suns,2,2,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,257,1890,Shawn Marion,1610612756,Phoenix Suns,2,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,-15,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,272,361,Clifford Robinson,1610612756,Phoenix Suns,2,1,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,127,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,277,467,Jason Kidd,1610612756,Phoenix Suns,2,0,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,311,960,Tony Delk,1610612756,Phoenix Suns,3,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,188,45,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,320,361,Clifford Robinson,1610612756,Phoenix Suns,3,7,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,1,245,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,340,467,Jason Kidd,1610612756,Phoenix Suns,3,4,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,342,467,Jason Kidd,1610612756,Phoenix Suns,3,4,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,346,915,Rodney Rogers,1610612756,Phoenix Suns,3,3,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-111,139,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,349,960,Tony Delk,1610612756,Phoenix Suns,3,3,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,371,361,Clifford Robinson,1610612756,Phoenix Suns,3,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,373,361,Clifford Robinson,1610612756,Phoenix Suns,3,1,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,381,361,Clifford Robinson,1610612756,Phoenix Suns,3,1,4,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,412,1890,Shawn Marion,1610612756,Phoenix Suns,4,9,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,224,72,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,481,361,Clifford Robinson,1610612756,Phoenix Suns,4,2,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,488,1890,Shawn Marion,1610612756,Phoenix Suns,4,2,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,493,915,Rodney Rogers,1610612756,Phoenix Suns,4,1,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000011,495,467,Jason Kidd,1610612756,Phoenix Suns,4,1,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,GSW,PHX
Shot Chart Detail,0020000026,19,361,Clifford Robinson,1610612756,Phoenix Suns,1,10,5,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,PHX,POR
Shot Chart Detail,0020000026,40,1890,Shawn Marion,1610612756,Phoenix Suns,1,8,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-4,141,1,1,20001102,PHX,POR
Shot Chart Detail,0020000026,42,467,Jason Kidd,1610612756,Phoenix Suns,1,7,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,PHX,POR
