GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000013,35,452,Vin Baker,1610612760,Seattle SuperSonics,1,8,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,63,452,Vin Baker,1610612760,Seattle SuperSonics,1,5,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,72,452,Vin Baker,1610612760,Seattle SuperSonics,1,4,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,74,121,Patrick Ewing,1610612760,Seattle SuperSonics,1,3,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,0,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,83,452,Vin Baker,1610612760,Seattle SuperSonics,1,2,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,99,56,Gary Payton,1610612760,Seattle SuperSonics,1,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,149,56,Gary Payton,1610612760,Seattle SuperSonics,2,9,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-162,150,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,168,2046,Desmond Mason,1610612760,Seattle SuperSonics,2,7,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-189,26,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,202,2046,Desmond Mason,1610612760,Seattle SuperSonics,2,4,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,150,150,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,212,452,Vin Baker,1610612760,Seattle SuperSonics,2,3,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,217,56,Gary Payton,1610612760,Seattle SuperSonics,2,2,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,205,144,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,222,56,Gary Payton,1610612760,Seattle SuperSonics,2,1,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,228,2046,Desmond Mason,1610612760,Seattle SuperSonics,2,1,33,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,254,1742,Shammond Williams,1610612760,Seattle SuperSonics,3,11,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,9,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,259,1742,Shammond Williams,1610612760,Seattle SuperSonics,3,10,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,99,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,261,452,Vin Baker,1610612760,Seattle SuperSonics,3,10,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,58,188,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,272,452,Vin Baker,1610612760,Seattle SuperSonics,3,8,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,26,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,294,1742,Shammond Williams,1610612760,Seattle SuperSonics,3,6,20,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,299,56,Gary Payton,1610612760,Seattle SuperSonics,3,5,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,211,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,307,56,Gary Payton,1610612760,Seattle SuperSonics,3,4,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20001031,VAN,SEA
Shot Chart Detail,0020000013,310,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,4,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-124,30,1,1,20001031,VAN,SEA
