GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000009,10,2545,Darko Milicic,1610612750,Minnesota Timberwolves,1,11,14,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-67,4,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,12,201567,Kevin Love,1610612750,Minnesota Timberwolves,1,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,20,247,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,21,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,1,9,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,83,181,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,24,201567,Kevin Love,1610612750,Minnesota Timberwolves,1,8,45,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,-13,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,34,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,1,7,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,0,190,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,43,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,1,6,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,46,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,1,6,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,84,231,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,60,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,1,4,43,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,15,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,63,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,1,4,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,142,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,99,201585,Kosta Koufos,1610612750,Minnesota Timberwolves,1,2,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,12,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,142,201585,Kosta Koufos,1610612750,Minnesota Timberwolves,2,11,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,165,30,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,144,201147,Corey Brewer,1610612750,Minnesota Timberwolves,2,10,58,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,91,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,156,201229,Anthony Tolliver,1610612750,Minnesota Timberwolves,2,10,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-177,173,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,161,2742,Sebastian Telfair,1610612750,Minnesota Timberwolves,2,9,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,164,202325,Wesley Johnson,1610612750,Minnesota Timberwolves,2,9,14,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,180,2742,Sebastian Telfair,1610612750,Minnesota Timberwolves,2,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-87,227,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,205,201563,Michael Beasley,1610612750,Minnesota Timberwolves,2,6,10,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,61,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,223,202325,Wesley Johnson,1610612750,Minnesota Timberwolves,2,5,20,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,58,71,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,229,201563,Michael Beasley,1610612750,Minnesota Timberwolves,2,4,56,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,26,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,274,201567,Kevin Love,1610612750,Minnesota Timberwolves,2,2,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,278,201563,Michael Beasley,1610612750,Minnesota Timberwolves,2,1,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,186,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,321,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,3,10,51,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,36,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,354,201229,Anthony Tolliver,1610612750,Minnesota Timberwolves,3,7,55,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-3,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,359,2545,Darko Milicic,1610612750,Minnesota Timberwolves,3,6,47,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,36,55,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,367,202325,Wesley Johnson,1610612750,Minnesota Timberwolves,3,6,13,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,3,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,373,202325,Wesley Johnson,1610612750,Minnesota Timberwolves,3,5,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,0,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,376,2557,Luke Ridnour,1610612750,Minnesota Timberwolves,3,5,21,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,26,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,419,2742,Sebastian Telfair,1610612750,Minnesota Timberwolves,3,2,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-11,168,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,422,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,3,2,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20101027,MIN,SAC
Shot Chart Detail,0021000009,456,201567,Kevin Love,1610612750,Minnesota Timberwolves,3,0,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,184,1,1,20101027,MIN,SAC
