GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000012,2,739,Rasheed Wallace,1610612757,Portland Trail Blazers,1,11,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,4,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,8,739,Rasheed Wallace,1610612757,Portland Trail Blazers,1,10,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,21,757,Damon Stoudamire,1610612757,Portland Trail Blazers,1,9,9,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,57,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,34,739,Rasheed Wallace,1610612757,Portland Trail Blazers,1,7,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,21,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,38,120,Steven Smith,1610612757,Portland Trail Blazers,1,7,33,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-65,40,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,54,905,Dale Davis,1610612757,Portland Trail Blazers,1,5,40,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,74,120,Steven Smith,1610612757,Portland Trail Blazers,1,3,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-181,4,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,77,739,Rasheed Wallace,1610612757,Portland Trail Blazers,1,2,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,91,1719,Bonzi Wells,1610612757,Portland Trail Blazers,1,1,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-115,11,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,112,21,Greg Anthony,1610612757,Portland Trail Blazers,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-21,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,115,1719,Bonzi Wells,1610612757,Portland Trail Blazers,2,11,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,117,21,Greg Anthony,1610612757,Portland Trail Blazers,2,10,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
