GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000001,13,1630164,James Wiseman,1610612744,Golden State Warriors,1,11,11,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-2,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,29,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,26,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,94,203145,Kent Bazemore,1610612744,Golden State Warriors,1,5,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,97,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,72,215,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,114,1626162,Kelly Oubre Jr.,1610612744,Golden State Warriors,1,3,52,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,29,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,117,1626162,Kelly Oubre Jr.,1610612744,Golden State Warriors,1,3,36,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-5,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,158,1627737,Marquese Chriss,1610612744,Golden State Warriors,1,1,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,161,1627737,Marquese Chriss,1610612744,Golden State Warriors,1,0,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-74,234,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,165,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,23,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,243,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,201,1629673,Jordan Poole,1610612744,Golden State Warriors,2,9,53,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-19,108,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,212,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,8,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-4,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,275,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,216,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,285,1630164,James Wiseman,1610612744,Golden State Warriors,2,4,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,4,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,297,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,315,1630164,James Wiseman,1610612744,Golden State Warriors,2,3,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,17,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,322,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,2,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,206,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,358,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,9,185,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,390,1626162,Kelly Oubre Jr.,1610612744,Golden State Warriors,3,10,34,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,12,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,448,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,7,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,90,239,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,452,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,3,6,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,455,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,3,6,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,12,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,489,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,49,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,52,1,1,20201222,BKN,GSW
Shot Chart Detail,0022000001,512,1626172,Kevon Looney,1610612744,Golden State Warriors,3,3,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,1,20201222,BKN,GSW
