GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000008,2,2207,Joe Johnson,1610612737,Atlanta Hawks,1,11,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,12,108,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,17,1710,Mike Bibby,1610612737,Atlanta Hawks,1,9,33,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,20,101107,Marvin Williams,1610612737,Atlanta Hawks,1,9,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-150,156,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,23,1710,Mike Bibby,1610612737,Atlanta Hawks,1,8,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,208,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,41,1710,Mike Bibby,1610612737,Atlanta Hawks,1,7,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-144,104,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,46,2585,Zaza Pachulia,1610612737,Atlanta Hawks,1,7,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,53,2585,Zaza Pachulia,1610612737,Atlanta Hawks,1,6,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,64,2746,Josh Smith,1610612737,Atlanta Hawks,1,5,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,239,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,71,101107,Marvin Williams,1610612737,Atlanta Hawks,1,4,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-136,129,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,85,2037,Jamal Crawford,1610612737,Atlanta Hawks,1,3,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-45,205,1,1,20101027,MEM,ATL
