GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000016,8,896,Tim Hardaway,1610612748,Miami Heat,1,11,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,11,258,Brian Grant,1610612748,Miami Heat,1,10,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,68,122,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,18,224,Eddie Jones,1610612748,Miami Heat,1,10,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,0,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,28,224,Eddie Jones,1610612748,Miami Heat,1,9,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-187,160,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,30,190,Duane Causwell,1610612748,Miami Heat,1,8,44,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-37,34,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,35,896,Tim Hardaway,1610612748,Miami Heat,1,8,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,205,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,39,896,Tim Hardaway,1610612748,Miami Heat,1,7,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,48,224,Eddie Jones,1610612748,Miami Heat,1,6,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,3,177,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,59,896,Tim Hardaway,1610612748,Miami Heat,1,5,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-130,181,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000016,65,896,Tim Hardaway,1610612748,Miami Heat,1,4,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,197,137,1,1,20001101,MIA,ORL
