GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000014,48,101114,Deron Williams,1610612762,Utah Jazz,1,7,38,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-21,82,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,84,200794,Paul Millsap,1610612762,Utah Jazz,1,4,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,119,170,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,91,1952,Raja Bell,1610612762,Utah Jazz,1,4,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,4,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,125,202379,Jeremy Evans,1610612762,Utah Jazz,1,1,29,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,1,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,145,202379,Jeremy Evans,1610612762,Utah Jazz,1,0,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,47,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,164,201178,Kyrylo Fesenko,1610612762,Utah Jazz,2,11,26,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,169,202330,Gordon Hayward,1610612762,Utah Jazz,2,10,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,7,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,185,202330,Gordon Hayward,1610612762,Utah Jazz,2,9,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-2,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,241,2744,Al Jefferson,1610612762,Utah Jazz,2,6,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,82,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,263,200794,Paul Millsap,1610612762,Utah Jazz,2,5,5,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,13,110,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,299,1952,Raja Bell,1610612762,Utah Jazz,2,2,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-2,198,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,320,2248,Earl Watson,1610612762,Utah Jazz,2,1,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,47,186,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,351,2744,Al Jefferson,1610612762,Utah Jazz,3,11,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-2,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,388,1952,Raja Bell,1610612762,Utah Jazz,3,8,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-180,28,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,395,101114,Deron Williams,1610612762,Utah Jazz,3,7,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,31,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,400,101114,Deron Williams,1610612762,Utah Jazz,3,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,181,194,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,423,200794,Paul Millsap,1610612762,Utah Jazz,3,5,15,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,439,200794,Paul Millsap,1610612762,Utah Jazz,3,3,25,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,20,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,459,200794,Paul Millsap,1610612762,Utah Jazz,3,1,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,499,1922,Francisco Elson,1610612762,Utah Jazz,4,10,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,525,202330,Gordon Hayward,1610612762,Utah Jazz,4,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-103,143,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,538,2248,Earl Watson,1610612762,Utah Jazz,4,7,12,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,61,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,563,1922,Francisco Elson,1610612762,Utah Jazz,4,5,50,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,0,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,580,202379,Jeremy Evans,1610612762,Utah Jazz,4,4,11,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,25,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,582,202379,Jeremy Evans,1610612762,Utah Jazz,4,3,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,6,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,589,202330,Gordon Hayward,1610612762,Utah Jazz,4,2,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,595,1922,Francisco Elson,1610612762,Utah Jazz,4,2,26,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,34,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000018,16,200794,Paul Millsap,1610612762,Utah Jazz,1,10,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-133,115,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,55,1952,Raja Bell,1610612762,Utah Jazz,1,6,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,9,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,58,200794,Paul Millsap,1610612762,Utah Jazz,1,6,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,78,2744,Al Jefferson,1610612762,Utah Jazz,1,5,29,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,81,2744,Al Jefferson,1610612762,Utah Jazz,1,5,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,129,101139,CJ Miles,1610612762,Utah Jazz,1,1,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-105,195,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,152,201178,Kyrylo Fesenko,1610612762,Utah Jazz,1,0,7,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,6,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,161,1905,Andrei Kirilenko,1610612762,Utah Jazz,2,11,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,95,12,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,164,202330,Gordon Hayward,1610612762,Utah Jazz,2,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,9,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,177,201178,Kyrylo Fesenko,1610612762,Utah Jazz,2,10,20,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,18,48,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,180,202330,Gordon Hayward,1610612762,Utah Jazz,2,10,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,202,2744,Al Jefferson,1610612762,Utah Jazz,2,7,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,6,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,215,200794,Paul Millsap,1610612762,Utah Jazz,2,6,35,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,77,77,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,249,2744,Al Jefferson,1610612762,Utah Jazz,2,4,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,11,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,275,200794,Paul Millsap,1610612762,Utah Jazz,2,2,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,10,175,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,286,200794,Paul Millsap,1610612762,Utah Jazz,2,1,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,324,200794,Paul Millsap,1610612762,Utah Jazz,3,10,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-1,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,329,200794,Paul Millsap,1610612762,Utah Jazz,3,9,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,8,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,333,200794,Paul Millsap,1610612762,Utah Jazz,3,8,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,0,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,343,1952,Raja Bell,1610612762,Utah Jazz,3,8,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,162,75,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,350,2744,Al Jefferson,1610612762,Utah Jazz,3,6,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,0,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,376,101114,Deron Williams,1610612762,Utah Jazz,3,4,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,178,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,381,1905,Andrei Kirilenko,1610612762,Utah Jazz,3,3,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,86,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,391,101114,Deron Williams,1610612762,Utah Jazz,3,3,33,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,406,1905,Andrei Kirilenko,1610612762,Utah Jazz,3,2,42,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,434,1905,Andrei Kirilenko,1610612762,Utah Jazz,3,0,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,9,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,452,1922,Francisco Elson,1610612762,Utah Jazz,4,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-34,190,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,487,200794,Paul Millsap,1610612762,Utah Jazz,4,8,6,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,31,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,494,202330,Gordon Hayward,1610612762,Utah Jazz,4,7,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-2,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,504,2744,Al Jefferson,1610612762,Utah Jazz,4,6,32,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,42,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,509,2744,Al Jefferson,1610612762,Utah Jazz,4,5,17,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,11,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,518,101114,Deron Williams,1610612762,Utah Jazz,4,4,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,44,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,529,2744,Al Jefferson,1610612762,Utah Jazz,4,3,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-76,55,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,550,1952,Raja Bell,1610612762,Utah Jazz,4,1,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,9,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,552,1905,Andrei Kirilenko,1610612762,Utah Jazz,4,1,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,574,101179,Ronnie Price,1610612762,Utah Jazz,4,0,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,133,165,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000042,3,200794,Paul Millsap,1610612762,Utah Jazz,1,11,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,3,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,18,1905,Andrei Kirilenko,1610612762,Utah Jazz,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-7,242,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,29,1905,Andrei Kirilenko,1610612762,Utah Jazz,1,8,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,141,102,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,32,200794,Paul Millsap,1610612762,Utah Jazz,1,8,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,64,172,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,35,200794,Paul Millsap,1610612762,Utah Jazz,1,7,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,42,2744,Al Jefferson,1610612762,Utah Jazz,1,6,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-26,178,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,72,1905,Andrei Kirilenko,1610612762,Utah Jazz,1,4,6,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,79,1952,Raja Bell,1610612762,Utah Jazz,1,3,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,167,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,92,1952,Raja Bell,1610612762,Utah Jazz,1,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,20,175,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,102,101114,Deron Williams,1610612762,Utah Jazz,1,1,26,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,123,101139,CJ Miles,1610612762,Utah Jazz,1,0,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,19,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,130,202330,Gordon Hayward,1610612762,Utah Jazz,2,11,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,136,101114,Deron Williams,1610612762,Utah Jazz,2,10,31,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,63,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,146,200794,Paul Millsap,1610612762,Utah Jazz,2,9,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,132,123,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,163,202330,Gordon Hayward,1610612762,Utah Jazz,2,7,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,4,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,175,200794,Paul Millsap,1610612762,Utah Jazz,2,6,24,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,182,101139,CJ Miles,1610612762,Utah Jazz,2,5,57,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,22,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,194,101139,CJ Miles,1610612762,Utah Jazz,2,5,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,196,200794,Paul Millsap,1610612762,Utah Jazz,2,4,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,43,186,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,199,2744,Al Jefferson,1610612762,Utah Jazz,2,4,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,215,200794,Paul Millsap,1610612762,Utah Jazz,2,2,49,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,22,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,222,101114,Deron Williams,1610612762,Utah Jazz,2,2,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,15,45,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,236,101139,CJ Miles,1610612762,Utah Jazz,2,0,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-153,186,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,242,1905,Andrei Kirilenko,1610612762,Utah Jazz,2,0,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,12,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,259,1905,Andrei Kirilenko,1610612762,Utah Jazz,3,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,173,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,267,200794,Paul Millsap,1610612762,Utah Jazz,3,10,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,269,1905,Andrei Kirilenko,1610612762,Utah Jazz,3,9,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,284,200794,Paul Millsap,1610612762,Utah Jazz,3,8,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-35,124,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,293,2744,Al Jefferson,1610612762,Utah Jazz,3,8,7,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-32,53,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,310,200794,Paul Millsap,1610612762,Utah Jazz,3,7,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,313,1952,Raja Bell,1610612762,Utah Jazz,3,6,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-210,0,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,359,101114,Deron Williams,1610612762,Utah Jazz,3,4,48,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,19,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,366,101139,CJ Miles,1610612762,Utah Jazz,3,4,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,149,194,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,369,2744,Al Jefferson,1610612762,Utah Jazz,3,3,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,435,101139,CJ Miles,1610612762,Utah Jazz,3,0,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,20,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,449,101139,CJ Miles,1610612762,Utah Jazz,4,11,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,6,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,462,101114,Deron Williams,1610612762,Utah Jazz,4,10,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-141,203,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,485,2744,Al Jefferson,1610612762,Utah Jazz,4,8,45,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,34,1,1,20101031,OKC,UTA
Shot Chart Detail,0021000042,492,200794,Paul Millsap,1610612762,Utah Jazz,4,7,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,108,164,1,1,20101031,OKC,UTA
