GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000003,9,1885,Lamar Odom,1610612747,Los Angeles Lakers,1,11,21,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,20,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,13,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,10,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,116,80,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,17,1897,Metta World Peace,1610612747,Los Angeles Lakers,1,10,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,113,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,20,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,9,38,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-98,108,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,65,1897,Metta World Peace,1610612747,Los Angeles Lakers,1,6,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,0,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,67,1897,Metta World Peace,1610612747,Los Angeles Lakers,1,5,54,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,23,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,70,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,5,27,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,25,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,99,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,3,45,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,12,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,103,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,3,17,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,114,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,2,35,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,14,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,128,2200,Pau Gasol,1610612747,Los Angeles Lakers,1,1,9,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,19,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,141,200769,Shannon Brown,1610612747,Los Angeles Lakers,1,0,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,111,179,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,149,1885,Lamar Odom,1610612747,Los Angeles Lakers,2,11,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,158,2440,Matt Barnes,1610612747,Los Angeles Lakers,2,9,58,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,22,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,163,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,8,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,10,113,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,177,1885,Lamar Odom,1610612747,Los Angeles Lakers,2,7,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,184,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,6,52,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-103,-3,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,202,1885,Lamar Odom,1610612747,Los Angeles Lakers,2,5,41,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,205,1885,Lamar Odom,1610612747,Los Angeles Lakers,2,5,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,11,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,225,1885,Lamar Odom,1610612747,Los Angeles Lakers,2,3,59,Made Shot,Reverse Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,275,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,0,42,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,94,88,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,316,2200,Pau Gasol,1610612747,Los Angeles Lakers,3,9,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,42,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,322,977,Kobe Bryant,1610612747,Los Angeles Lakers,3,9,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-106,82,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,332,977,Kobe Bryant,1610612747,Los Angeles Lakers,3,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-127,146,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,357,2200,Pau Gasol,1610612747,Los Angeles Lakers,3,6,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-19,48,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,369,2200,Pau Gasol,1610612747,Los Angeles Lakers,3,5,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,371,977,Kobe Bryant,1610612747,Los Angeles Lakers,3,5,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,129,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,389,965,Derek Fisher,1610612747,Los Angeles Lakers,3,3,42,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-43,61,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,434,2581,Steve Blake,1610612747,Los Angeles Lakers,3,0,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,144,216,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,437,2581,Steve Blake,1610612747,Los Angeles Lakers,3,0,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-3,1,1,20101026,LAL,HOU
