GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000017,3,1713,Vince Carter,1610612753,Orlando Magic,1,11,43,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,6,1740,Rashard Lewis,1610612753,Orlando Magic,1,11,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,21,2047,Quentin Richardson,1610612753,Orlando Magic,1,9,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,189,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,32,2749,Jameer Nelson,1610612753,Orlando Magic,1,8,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,43,1713,Vince Carter,1610612753,Orlando Magic,1,7,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,19,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,58,1713,Vince Carter,1610612753,Orlando Magic,1,6,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,194,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,62,1740,Rashard Lewis,1610612753,Orlando Magic,1,5,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-2,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,64,1740,Rashard Lewis,1610612753,Orlando Magic,1,5,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-8,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,78,101138,Brandon Bass,1610612753,Orlando Magic,1,4,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-138,83,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,111,1740,Rashard Lewis,1610612753,Orlando Magic,1,2,10,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-56,77,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,114,200755,JJ Redick,1610612753,Orlando Magic,1,1,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,135,1713,Vince Carter,1610612753,Orlando Magic,2,11,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-60,244,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,148,101162,Marcin Gortat,1610612753,Orlando Magic,2,10,13,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,168,1713,Vince Carter,1610612753,Orlando Magic,2,8,18,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,58,80,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,171,1713,Vince Carter,1610612753,Orlando Magic,2,7,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,75,129,1,1,20101028,ORL,WAS
