GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000020,7,1899,James Posey,1610612743,Denver Nuggets,1,11,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,199,198,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,9,686,Antonio McDyess,1610612743,Denver Nuggets,1,10,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,33,89,Nick Van Exel,1610612743,Denver Nuggets,1,9,27,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,53,1721,Keon Clark,1610612743,Denver Nuggets,1,7,49,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,56,89,Nick Van Exel,1610612743,Denver Nuggets,1,7,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,178,209,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,62,1721,Keon Clark,1610612743,Denver Nuggets,1,6,33,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,81,89,Nick Van Exel,1610612743,Denver Nuggets,1,5,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,129,57,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,87,89,Nick Van Exel,1610612743,Denver Nuggets,1,4,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,157,0,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,89,1721,Keon Clark,1610612743,Denver Nuggets,1,4,40,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,40,1,1,20001101,SEA,DEN
Shot Chart Detail,0020000020,98,89,Nick Van Exel,1610612743,Denver Nuggets,1,4,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-33,203,1,1,20001101,SEA,DEN
