GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000003,16,2755,Kevin Martin,1610612745,Houston Rockets,1,10,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-152,-11,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,19,2397,Yao Ming,1610612745,Houston Rockets,1,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,113,45,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,22,201166,Aaron Brooks,1610612745,Houston Rockets,1,9,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,252,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,56,2755,Kevin Martin,1610612745,Houston Rockets,1,7,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,190,197,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,59,201166,Aaron Brooks,1610612745,Houston Rockets,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,53,255,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,66,2449,Luis Scola,1610612745,Houston Rockets,1,6,7,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,152,64,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,69,2755,Kevin Martin,1610612745,Houston Rockets,1,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-161,206,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,88,201166,Aaron Brooks,1610612745,Houston Rockets,1,4,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,15,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,104,2755,Kevin Martin,1610612745,Houston Rockets,1,2,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20101026,LAL,HOU
Shot Chart Detail,0021000003,139,201978,Chase Budinger,1610612745,Houston Rockets,1,0,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,23,1,1,20101026,LAL,HOU
