GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000009,5,251,Sean Elliott,1610612759,San Antonio Spurs,1,11,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,210,114,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,25,1495,Tim Duncan,1610612759,San Antonio Spurs,1,10,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,28,764,David Robinson,1610612759,San Antonio Spurs,1,9,23,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,40,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,36,764,David Robinson,1610612759,San Antonio Spurs,1,8,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-132,91,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,40,422,Avery Johnson,1610612759,San Antonio Spurs,1,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,7,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,45,422,Avery Johnson,1610612759,San Antonio Spurs,1,7,10,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,13,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,83,1495,Tim Duncan,1610612759,San Antonio Spurs,1,2,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,47,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,88,198,Danny Ferry,1610612759,San Antonio Spurs,1,2,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,54,181,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,105,1495,Tim Duncan,1610612759,San Antonio Spurs,1,1,1,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,13,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,117,1498,Antonio Daniels,1610612759,San Antonio Spurs,2,11,49,Made Shot,Finger Roll Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,124,955,Samaki Walker,1610612759,San Antonio Spurs,2,10,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-67,34,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,136,1498,Antonio Daniels,1610612759,San Antonio Spurs,2,8,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-96,118,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,151,764,David Robinson,1610612759,San Antonio Spurs,2,7,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,117,125,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,163,1495,Tim Duncan,1610612759,San Antonio Spurs,2,5,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,165,251,Sean Elliott,1610612759,San Antonio Spurs,2,5,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,165,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,168,251,Sean Elliott,1610612759,San Antonio Spurs,2,4,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,-32,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,175,764,David Robinson,1610612759,San Antonio Spurs,2,3,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-117,104,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,180,1507,Derek Anderson,1610612759,San Antonio Spurs,2,3,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-88,154,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,203,955,Samaki Walker,1610612759,San Antonio Spurs,2,0,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,117,47,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,230,1495,Tim Duncan,1610612759,San Antonio Spurs,3,11,17,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,87,-2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,284,345,Terry Porter,1610612759,San Antonio Spurs,3,5,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-147,85,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,311,198,Danny Ferry,1610612759,San Antonio Spurs,3,3,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-189,-21,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,313,764,David Robinson,1610612759,San Antonio Spurs,3,2,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-10,154,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,324,70,Steve Kerr,1610612759,San Antonio Spurs,3,2,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-153,118,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,340,1498,Antonio Daniels,1610612759,San Antonio Spurs,3,0,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,355,198,Danny Ferry,1610612759,San Antonio Spurs,4,11,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,-8,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,361,70,Steve Kerr,1610612759,San Antonio Spurs,4,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-168,85,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,364,1498,Antonio Daniels,1610612759,San Antonio Spurs,4,9,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,75,186,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,373,1498,Antonio Daniels,1610612759,San Antonio Spurs,4,8,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,102,118,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,435,1498,Antonio Daniels,1610612759,San Antonio Spurs,4,2,44,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,438,1495,Tim Duncan,1610612759,San Antonio Spurs,4,2,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,446,1495,Tim Duncan,1610612759,San Antonio Spurs,4,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-10,198,1,1,20001031,SAS,IND
Shot Chart Detail,0020000009,449,1507,Derek Anderson,1610612759,San Antonio Spurs,4,1,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,144,198,1,1,20001031,SAS,IND
Shot Chart Detail,0020000024,3,1507,Derek Anderson,1610612759,San Antonio Spurs,1,11,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-1,200,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,6,1495,Tim Duncan,1610612759,San Antonio Spurs,1,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-16,160,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,23,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,0,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,39,422,Avery Johnson,1610612759,San Antonio Spurs,1,7,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,119,87,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,48,251,Sean Elliott,1610612759,San Antonio Spurs,1,5,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-50,245,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,89,198,Danny Ferry,1610612759,San Antonio Spurs,1,1,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,153,110,1,1,20001102,SAS,MIN
Shot Chart Detail,0020000024,93,1498,Antonio Daniels,1610612759,San Antonio Spurs,1,1,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,1,20001102,SAS,MIN
