GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000002,4,201577,Robin Lopez,1610612756,Phoenix Suns,1,11,17,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,12,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,8,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,187,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,10,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,19,255,Grant Hill,1610612756,Phoenix Suns,1,9,32,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,25,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,28,2202,Jason Richardson,1610612756,Phoenix Suns,1,7,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,36,2045,Hedo Turkoglu,1610612756,Phoenix Suns,1,7,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,3,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,44,959,Steve Nash,1610612756,Phoenix Suns,1,6,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-71,154,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,76,959,Steve Nash,1610612756,Phoenix Suns,1,3,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,26,244,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,80,201162,Jared Dudley,1610612756,Phoenix Suns,1,2,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,87,2202,Jason Richardson,1610612756,Phoenix Suns,1,1,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,111,101124,Hakim Warrick,1610612756,Phoenix Suns,1,0,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,140,201162,Jared Dudley,1610612756,Phoenix Suns,2,9,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,17,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,159,201609,Goran Dragic,1610612756,Phoenix Suns,2,8,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,193,151,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,164,2735,Josh Childress,1610612756,Phoenix Suns,2,7,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,166,2735,Josh Childress,1610612756,Phoenix Suns,2,6,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,193,2202,Jason Richardson,1610612756,Phoenix Suns,2,4,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-226,61,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,213,959,Steve Nash,1610612756,Phoenix Suns,2,3,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,149,157,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,218,201577,Robin Lopez,1610612756,Phoenix Suns,2,2,40,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,14,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,269,2202,Jason Richardson,1610612756,Phoenix Suns,3,10,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,272,2045,Hedo Turkoglu,1610612756,Phoenix Suns,3,10,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-64,236,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,281,2202,Jason Richardson,1610612756,Phoenix Suns,3,9,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,147,66,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,288,959,Steve Nash,1610612756,Phoenix Suns,3,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,77,235,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,292,2202,Jason Richardson,1610612756,Phoenix Suns,3,8,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,4,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,296,959,Steve Nash,1610612756,Phoenix Suns,3,7,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,3,1,1,20101026,POR,PHX
