GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000018,38,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,9,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,57,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,7,6,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,4,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,61,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,6,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,64,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,6,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-135,213,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,72,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,5,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,86,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,4,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-228,85,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,103,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,3,45,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,119,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,2,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,123,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,2,8,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-29,94,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,180,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,2,10,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,3,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,223,201937,Ricky Rubio,1610612750,Minnesota Timberwolves,2,7,48,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,238,1629633,Jarrett Culver,1610612750,Minnesota Timberwolves,2,6,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,4,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,248,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,5,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,164,99,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,252,1629633,Jarrett Culver,1610612750,Minnesota Timberwolves,2,5,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,261,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,4,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,220,127,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,265,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,96,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,280,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,21,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,296,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,1,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,300,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,2,1,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-58,145,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,329,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,11,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-115,90,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,339,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,133,212,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,380,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,6,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,387,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,5,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,51,168,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,390,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,3,5,29,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,1,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,393,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,5,11,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-127,231,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,396,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,4,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,10,1,1,20201223,MIN,DET
Shot Chart Detail,0022000018,416,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,3,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,59,1,1,20201223,MIN,DET
