"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"2","Giannis Antetokounmpo","MIL","27","12","12","100%","11.7","23.8","49.1","50.7","85.6%","10.9","20.3","53.7","14.4%","0.8","3.4","22.0","2021-2022"
"3","Luka Doncic","DAL","23","15","15","100%","10.7","23.5","45.5","52.7","58.0%","7.3","13.6","53.4","42.0%","3.4","9.9","34.5","2021-2022"
"4","Donovan Mitchell","UTA","25","6","6","100%","8.8","22.2","39.8","43.6","63.9%","7.2","14.2","50.6","36.1%","1.7","8.0","20.8","2021-2022"
"5","Nikola Jokic","DEN","27","5","5","100%","12.2","21.2","57.5","59.9","83.0%","11.2","17.6","63.6","17.0%","1.0","3.6","27.8","2021-2022"
"6","CJ McCollum","NOP","30","6","6","100%","8.2","20.8","39.2","46.0","59.2%","5.3","12.3","43.2","40.8%","2.8","8.5","33.3","2021-2022"
"7","Kevin Durant","BKN","33","4","4","100%","8.0","20.8","38.6","42.8","74.7%","6.3","15.5","40.3","25.3%","1.8","5.3","33.3","2021-2022"
"8","Ja Morant","MEM","22","9","9","100%","9.0","20.4","44.0","48.6","72.8%","7.1","14.9","47.8","27.2%","1.9","5.6","34.0","2021-2022"
"9","Stephen Curry","GSW","34","22","22","100%","9.2","20.0","45.9","56.3","48.0%","5.0","9.6","52.6","52.0%","4.1","10.4","39.7","2021-2022"
"10","Brandon Ingram","NOP","24","6","6","100%","9.3","19.7","47.5","52.1","77.1%","7.5","15.2","49.5","22.9%","1.8","4.5","40.7","2021-2022"
"11","Jayson Tatum","BOS","24","24","24","100%","8.4","19.7","42.6","50.7","58.5%","5.2","11.5","44.9","41.5%","3.2","8.2","39.3","2021-2022"
"12","Jrue Holiday","MIL","32","12","12","100%","7.4","19.6","37.9","43.2","66.4%","5.3","13.0","41.0","33.6%","2.1","6.6","31.6","2021-2022"
"13","Jimmy Butler","MIA","32","17","17","100%","9.8","19.3","50.6","54.1","79.3%","8.4","15.3","55.0","20.7%","1.4","4.0","33.8","2021-2022"
"14","DeMar DeRozan","CHI","32","5","5","100%","7.8","19.0","41.1","41.1","90.5%","7.8","17.2","45.3","9.5%","0.0","1.8","0.0","2021-2022"
"15","Anthony Edwards","MIN","20","6","6","100%","8.3","18.3","45.5","55.9","48.2%","4.5","8.8","50.9","51.8%","3.8","9.5","40.4","2021-2022"
"16","Nikola Vucevic","CHI","31","5","5","100%","8.0","18.2","44.0","51.1","53.8%","5.4","9.8","55.1","46.2%","2.6","8.4","31.0","2021-2022"
"17","Pascal Siakam","TOR","28","6","6","100%","8.5","17.8","47.7","49.5","84.1%","7.8","15.0","52.2","15.9%","0.7","2.8","23.5","2021-2022"
"18","Devin Booker","PHX","25","10","10","100%","7.9","17.5","45.1","53.1","62.9%","5.1","11.0","46.4","37.1%","2.8","6.5","43.1","2021-2022"
"19","Jaylen Brown","BOS","25","24","24","100%","8.2","17.5","47.0","54.2","61.6%","5.7","10.8","53.1","38.4%","2.5","6.7","37.3","2021-2022"
"20","Jalen Brunson","DAL","25","18","18","100%","8.1","17.3","46.6","50.8","75.9%","6.6","13.1","50.4","24.1%","1.4","4.2","34.7","2021-2022"
"21","Klay Thompson","GSW","32","22","22","100%","7.1","16.6","42.9","53.4","45.4%","3.6","7.5","48.2","54.6%","3.5","9.1","38.5","2021-2022"
"22","Joel Embiid","PHI","28","10","10","100%","7.8","16.1","48.4","50.6","79.5%","7.1","12.8","55.5","20.5%","0.7","3.3","21.2","2021-2022"
"23","Kyrie Irving","BKN","30","4","4","100%","7.0","15.8","44.4","50.8","66.7%","5.0","10.5","47.6","33.3%","2.0","5.3","38.1","2021-2022"
"24","Zach LaVine","CHI","27","4","4","100%","6.8","15.8","42.9","50.0","61.9%","4.5","9.8","46.2","38.1%","2.3","6.0","37.5","2021-2022"
"25","Dillon Brooks","MEM","26","11","11","100%","5.5","15.6","34.9","42.2","58.1%","3.2","9.1","35.0","41.9%","2.3","6.5","34.7","2021-2022"
"26","Tyrese Maxey","PHI","21","12","12","100%","7.3","15.2","48.4","55.5","62.1%","5.2","9.4","54.9","37.9%","2.2","5.8","37.7","2021-2022"
"27","De'Andre Hunter","ATL","24","5","5","100%","7.8","14.0","55.7","64.3","62.9%","5.4","8.8","61.4","37.1%","2.4","5.2","46.2","2021-2022"
"28","Andrew Wiggins","GSW","27","22","22","100%","6.5","13.9","46.9","52.6","65.6%","4.9","9.1","54.0","34.4%","1.6","4.8","33.3","2021-2022"
"29","Trae Young","ATL","23","5","5","100%","4.4","13.8","31.9","37.0","44.9%","3.0","6.2","48.4","55.1%","1.4","7.6","18.4","2021-2022"
"30","OG Anunoby","TOR","24","6","6","100%","6.5","13.7","47.6","56.1","50.0%","4.2","6.8","61.0","50.0%","2.3","6.8","34.1","2021-2022"
"31","Gary Trent Jr.","TOR","23","6","6","100%","5.2","13.7","37.8","45.7","52.4%","3.0","7.2","41.9","47.6%","2.2","6.5","33.3","2021-2022"
"32","Tobias Harris","PHI","29","12","12","100%","6.8","13.5","50.0","56.8","64.8%","4.9","8.8","56.2","35.2%","1.8","4.8","38.6","2021-2022"
"33","Bojan Bogdanovic","UTA","33","6","6","100%","6.5","13.5","48.1","54.9","59.3%","4.7","8.0","58.3","40.7%","1.8","5.5","33.3","2021-2022"
"34","Fred VanVleet","TOR","28","4","4","100%","4.8","13.5","35.2","46.3","33.3%","1.8","4.5","38.9","66.7%","3.0","9.0","33.3","2021-2022"
"35","Karl-Anthony Towns","MIN","26","6","6","100%","6.5","13.3","48.8","55.0","72.5%","4.8","9.7","50.0","27.5%","1.7","3.7","45.5","2021-2022"
"36","Desmond Bane","MEM","24","12","12","100%","6.3","13.3","47.5","60.9","44.4%","2.8","5.9","46.5","55.6%","3.6","7.4","48.3","2021-2022"
"37","Marcus Smart","BOS","28","21","21","100%","5.4","13.3","40.5","49.1","50.9%","3.1","6.8","45.8","49.1%","2.3","6.5","35.0","2021-2022"
"38","Will Barton","DEN","31","5","5","100%","5.4","13.2","40.9","49.2","57.6%","3.2","7.6","42.1","42.4%","2.2","5.6","39.3","2021-2022"
"39","James Harden","PHI","32","12","12","100%","5.3","13.2","40.5","49.4","51.9%","3.0","6.8","43.9","48.1%","2.3","6.3","36.8","2021-2022"
"40","Jaren Jackson Jr.","MEM","22","12","12","100%","4.9","13.0","37.8","46.5","53.8%","2.7","7.0","38.1","46.2%","2.3","6.0","37.5","2021-2022"
"41","Deandre Ayton","PHX","23","13","13","100%","8.1","12.6","64.0","64.6","97.6%","7.9","12.3","64.4","2.4%","0.1","0.3","50.0","2021-2022"
"42","Bogdan Bogdanovic","ATL","29","4","4","100%","5.0","12.3","40.8","50.0","46.9%","2.8","5.8","47.8","53.1%","2.3","6.5","34.6","2021-2022"
"43","Jordan Clarkson","UTA","30","6","6","100%","6.7","12.2","54.8","61.0","67.1%","5.2","8.2","63.3","32.9%","1.5","4.0","37.5","2021-2022"
"44","Tyler Herro","MIA","22","15","15","100%","4.9","12.1","40.9","45.3","61.3%","3.9","7.4","52.3","38.7%","1.1","4.7","22.9","2021-2022"
"45","Khris Middleton","MIL","30","2","2","100%","5.0","12.0","41.7","54.2","41.7%","2.0","5.0","40.0","58.3%","3.0","7.0","42.9","2021-2022"
"46","D'Angelo Russell","MIN","26","6","6","100%","4.0","12.0","33.3","41.7","56.9%","2.0","6.8","29.3","43.1%","2.0","5.2","38.7","2021-2022"
"47","Chris Paul","PHX","37","13","13","100%","6.7","11.9","56.1","62.3","68.4%","5.2","8.2","64.2","31.6%","1.5","3.8","38.8","2021-2022"
"48","Jordan Poole","GSW","23","22","22","100%","5.9","11.6","50.8","60.6","49.6%","3.6","5.7","62.7","50.4%","2.3","5.8","39.1","2021-2022"
"49","Jonas Valanciunas","NOP","30","6","6","100%","5.5","11.3","48.5","49.3","91.2%","5.3","10.3","51.6","8.8%","0.2","1.0","16.7","2021-2022"
"50","Aaron Gordon","DEN","26","5","5","100%","4.6","10.8","42.6","45.4","72.2%","4.0","7.8","51.3","27.8%","0.6","3.0","20.0","2021-2022"
"51","Spencer Dinwiddie","DAL","29","18","18","100%","4.4","10.7","41.7","52.1","50.0%","2.2","5.3","41.7","50.0%","2.2","5.3","41.7","2021-2022"
"52","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2020-2021"
"53","Nikola Jokic","DEN","26","10","10","100%","11.6","22.8","50.9","55.3","76.8%","9.6","17.5","54.9","23.2%","2.0","5.3","37.7","2020-2021"
"54","Julius Randle","NYK","26","5","5","100%","5.6","18.8","29.8","35.6","64.9%","3.4","12.2","27.9","35.1%","2.2","6.6","33.3","2020-2021"
"55","Joel Embiid","PHI","27","11","11","100%","9.2","17.9","51.3","55.3","79.2%","7.7","14.2","54.5","20.8%","1.4","3.7","39.0","2020-2021"
"56","Bam Adebayo","MIA","23","4","4","100%","6.5","14.3","45.6","45.6","100%","6.5","14.3","45.6","0.0%","0.0","0.0","-","2020-2021"
"57","Anthony Davis","LAL","28","5","4","100%","5.0","12.4","40.3","41.9","82.3%","4.6","10.2","45.1","17.7%","0.4","2.2","18.2","2020-2021"
"58","Jonas Valanciunas","MEM","29","5","5","100%","6.6","11.6","56.9","58.6","86.2%","6.2","10.0","62.0","13.8%","0.4","1.6","25.0","2020-2021"
"59","Jaren Jackson Jr.","MEM","21","5","5","100%","4.6","10.8","42.6","50.0","48.1%","3.0","5.2","57.7","51.9%","1.6","5.6","28.6","2020-2021"
"60","Deandre Ayton","PHX","22","22","22","100%","7.0","10.6","65.8","65.8","100%","7.0","10.6","65.8","0.0%","0.0","0.0","-","2020-2021"
"61","Kristaps Porzingis","DAL","25","7","7","100%","4.9","10.3","47.2","52.8","62.5%","3.7","6.4","57.8","37.5%","1.1","3.9","29.6","2020-2021"
"62","John Collins","ATL","23","18","18","100%","5.6","10.1","54.9","60.4","69.2%","4.4","7.0","63.5","30.8%","1.1","3.1","35.7","2020-2021"
"63","Boban Marjanovic","DAL","32","4","4","100%","5.0","9.8","51.3","51.3","100%","5.0","9.8","51.3","0.0%","0.0","0.0","-","2020-2021"
"64","Brook Lopez","MIL","33","23","23","100%","5.2","9.4","54.8","60.1","66.8%","4.2","6.3","66.2","33.2%","1.0","3.1","31.9","2020-2021"
"65","Jusuf Nurkic","POR","26","6","6","100%","5.0","9.2","54.5","55.5","90.9%","4.8","8.3","58.0","9.1%","0.2","0.8","20.0","2020-2021"
"66","Clint Capela","ATL","27","18","18","100%","4.6","7.6","60.3","60.3","100%","4.6","7.6","60.3","0.0%","0.0","0.0","-","2020-2021"
"67","Rudy Gobert","UTA","29","11","11","100%","5.5","7.4","74.1","74.1","98.8%","5.5","7.3","75.0","1.2%","0.0","0.1","0.0","2020-2021"
"68","Tristan Thompson","BOS","30","5","5","100%","4.0","6.8","58.8","58.8","100%","4.0","6.8","58.8","0.0%","0.0","0.0","-","2020-2021"
"69","Andre Drummond","LAL","27","5","5","100%","3.8","6.4","59.4","59.4","100%","3.8","6.4","59.4","0.0%","0.0","0.0","-","2020-2021"
"70","DeMarcus Cousins","LAC","30","7","6","100%","2.7","6.0","45.2","50.0","76.2%","2.1","4.6","46.9","23.8%","0.6","1.4","40.0","2020-2021"
"71","Daniel Gafford","WAS","22","5","5","100%","4.4","5.2","84.6","84.6","100%","4.4","5.2","84.6","0.0%","0.0","0.0","-","2020-2021"
"72","Robin Lopez","WAS","33","5","5","100%","3.6","5.0","72.0","72.0","100%","3.6","5.0","72.0","0.0%","0.0","0.0","-","2020-2021"
"73","Robert Williams III","BOS","23","3","2","100%","3.0","4.7","64.3","64.3","100%","3.0","4.7","64.3","0.0%","0.0","0.0","-","2020-2021"
"74","Dewayne Dedmon","MIA","31","4","4","100%","2.5","4.5","55.6","58.3","83.3%","2.3","3.8","60.0","16.7%","0.3","0.8","33.3","2020-2021"
"75","JaMychal Green","DEN","31","10","10","100%","2.0","4.5","44.4","51.1","55.6%","1.4","2.5","56.0","44.4%","0.6","2.0","30.0","2020-2021"
"76","Montrezl Harrell","LAL","27","4","3","100%","2.0","3.5","57.1","57.1","100%","2.0","3.5","57.1","0.0%","0.0","0.0","-","2020-2021"
"77","Ivica Zubac","LAC","24","17","14","100%","2.0","3.4","59.6","59.6","100%","2.0","3.4","59.6","0.0%","0.0","0.0","-","2020-2021"
"78","Dario Saric","PHX","27","14","14","100%","1.5","3.2","46.7","55.6","60.0%","0.9","1.9","48.1","40.0%","0.6","1.3","44.4","2020-2021"
"79","Alex Len","WAS","28","5","3","100%","1.6","2.8","57.1","57.1","100%","1.6","2.8","57.1","0.0%","0.0","0.0","-","2020-2021"
"80","Marc Gasol","LAL","36","5","5","100%","1.6","2.6","61.5","88.5","15.4%","0.2","0.4","50.0","84.6%","1.4","2.2","63.6","2020-2021"
"81","Reggie Perry","BKN","21","5","4","100%","1.4","2.6","53.8","61.5","61.5%","1.0","1.6","62.5","38.5%","0.4","1.0","40.0","2020-2021"
"82","Dwight Howard","PHI","35","12","12","100%","1.3","2.5","53.3","53.3","96.7%","1.3","2.4","55.2","3.3%","0.0","0.1","0.0","2020-2021"
"83","JaVale McGee","DEN","33","4","3","100%","0.8","2.5","30.0","30.0","80.0%","0.8","2.0","37.5","20.0%","0.0","0.5","0.0","2020-2021"
"84","Nic Claxton","BKN","22","12","8","100%","1.2","2.4","48.3","48.3","100%","1.2","2.4","48.3","0.0%","0.0","0.0","-","2020-2021"
"85","Frank Kaminsky","PHX","28","10","8","100%","1.0","2.2","45.5","47.7","77.3%","0.9","1.7","52.9","22.7%","0.1","0.5","20.0","2020-2021"
"86","Nerlens Noel","NYK","27","5","4","100%","1.0","2.0","50.0","50.0","100%","1.0","2.0","50.0","0.0%","0.0","0.0","-","2020-2021"
"87","Onyeka Okongwu","ATL","20","18","14","100%","0.9","1.7","54.8","54.8","96.8%","0.9","1.7","56.7","3.2%","0.0","0.1","0.0","2020-2021"
"88","Zeke Nnaji","DEN","20","5","5","100%","0.8","1.6","50.0","68.8","12.5%","0.2","0.2","100","87.5%","0.6","1.4","42.9","2020-2021"
"89","Enes Freedom","POR","29","5","4","100%","0.8","1.6","50.0","50.0","100%","0.8","1.6","50.0","0.0%","0.0","0.0","-","2020-2021"
"90","Willie Cauley-Stein","DAL","27","6","5","100%","1.0","1.5","66.7","66.7","100%","1.0","1.5","66.7","0.0%","0.0","0.0","-","2020-2021"
"91","Nathan Knight","ATL","23","6","5","100%","0.3","1.2","28.6","28.6","71.4%","0.3","0.8","40.0","28.6%","0.0","0.3","0.0","2020-2021"
"92","Dwight Powell","DAL","29","7","4","100%","1.0","1.1","87.5","87.5","100%","1.0","1.1","87.5","0.0%","0.0","0.0","-","2020-2021"
"93","Harry Giles III","POR","23","1","1","100%","0.0","1.0","0.0","0.0","100%","0.0","1.0","0.0","0.0%","0.0","0.0","-","2020-2021"
"94","Jalen Smith","PHX","21","6","3","100%","0.3","0.7","50.0","62.5","75.0%","0.2","0.5","33.3","25.0%","0.2","0.2","100","2020-2021"
"95","Daniel Oturu","LAC","21","8","5","100%","0.3","0.6","40.0","40.0","80.0%","0.3","0.5","50.0","20.0%","0.0","0.1","0.0","2020-2021"
"96","Luke Kornet","BOS","25","2","1","100%","0.5","0.5","100","100","100%","0.5","0.5","100","0.0%","0.0","0.0","-","2020-2021"
"97","Bruno Fernando","ATL","22","6","3","100%","0.3","0.5","66.7","66.7","100%","0.3","0.5","66.7","0.0%","0.0","0.0","-","2020-2021"
"98","Bol Bol","DEN","21","3","1","100%","0.0","0.3","0.0","0.0","0.0%","0.0","0.0","-","100%","0.0","0.3","0.0","2020-2021"
"99","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2019-2020"
"100","Nikola Vucevic","ORL","29","5","5","100%","11.2","22.2","50.5","58.6","60.4%","7.6","13.4","56.7","39.6%","3.6","8.8","40.9","2019-2020"
"101","Joel Embiid","PHI","26","4","4","100%","8.5","18.5","45.9","48.6","78.4%","7.5","14.5","51.7","21.6%","1.0","4.0","25.0","2019-2020"
"102","Nikola Jokic","DEN","25","19","19","100%","9.4","18.0","52.0","58.2","71.3%","7.2","12.8","55.7","28.7%","2.2","5.2","42.9","2019-2020"
"103","Anthony Davis","LAL","27","21","21","100%","9.6","16.8","56.9","60.2","83.0%","8.5","13.9","60.8","17.0%","1.1","2.9","38.3","2019-2020"
"104","Kristaps Porzingis","DAL","24","3","3","100%","7.0","13.3","52.5","63.8","57.5%","4.0","7.7","52.2","42.5%","3.0","5.7","52.9","2019-2020"
"105","Bam Adebayo","MIA","22","19","19","100%","6.5","11.4","56.7","56.7","99.5%","6.5","11.4","56.9","0.5%","0.0","0.1","0.0","2019-2020"
"106","Brook Lopez","MIL","32","10","10","100%","6.1","11.4","53.5","62.7","53.5%","4.0","6.1","65.6","46.5%","2.1","5.3","39.6","2019-2020"
"107","Jusuf Nurkic","POR","25","5","5","100%","5.0","11.4","43.9","46.5","80.7%","4.4","9.2","47.8","19.3%","0.6","2.2","27.3","2019-2020"
"108","Myles Turner","IND","24","4","4","100%","6.3","11.0","56.8","63.6","68.2%","4.8","7.5","63.3","31.8%","1.5","3.5","42.9","2019-2020"
"109","Rudy Gobert","UTA","28","7","7","100%","6.9","10.6","64.9","64.9","100%","6.9","10.6","64.9","0.0%","0.0","0.0","-","2019-2020"
"110","Steven Adams","OKC","26","7","7","100%","4.4","7.4","59.6","59.6","98.1%","4.4","7.3","60.8","1.9%","0.0","0.1","0.0","2019-2020"
"111","Daniel Theis","BOS","28","17","17","100%","3.6","6.9","52.1","53.8","77.8%","3.4","5.3","62.6","22.2%","0.2","1.5","15.4","2019-2020"
"112","Montrezl Harrell","LAC","26","13","13","100%","3.6","6.3","57.3","57.9","93.9%","3.5","5.9","59.7","6.1%","0.1","0.4","20.0","2019-2020"
"113","Al Horford","PHI","34","4","4","100%","3.0","6.3","48.0","48.0","84.0%","3.0","5.3","57.1","16.0%","0.0","1.0","0.0","2019-2020"
"114","Jarrett Allen","BKN","22","4","3","100%","3.5","6.0","58.3","58.3","100%","3.5","6.0","58.3","0.0%","0.0","0.0","-","2019-2020"
"115","Ivica Zubac","LAC","23","13","13","100%","3.4","6.0","56.4","56.4","100%","3.4","6.0","56.4","0.0%","0.0","0.0","-","2019-2020"
"116","Marc Gasol","TOR","35","11","11","100%","2.3","5.8","39.1","43.0","57.8%","1.8","3.4","54.1","42.2%","0.5","2.5","18.5","2019-2020"
"117","Kelly Olynyk","MIA","29","17","17","100%","2.6","5.6","47.4","56.3","48.4%","1.6","2.7","60.9","51.6%","1.0","2.9","34.7","2019-2020"
"118","Boban Marjanovic","DAL","31","6","6","100%","2.8","5.0","56.7","56.7","96.7%","2.8","4.8","58.6","3.3%","0.0","0.2","0.0","2019-2020"
"119","Hassan Whiteside","POR","31","5","5","100%","2.6","4.8","54.2","56.3","95.8%","2.4","4.6","52.2","4.2%","0.2","0.2","100","2019-2020"
"120","JaMychal Green","LAC","30","13","13","100%","2.4","4.2","56.4","65.5","58.2%","1.6","2.5","65.6","41.8%","0.8","1.8","43.5","2019-2020"
"121","Enes Freedom","BOS","28","11","10","100%","2.0","3.8","52.4","53.6","97.6%","1.9","3.7","51.2","2.4%","0.1","0.1","100","2019-2020"
"122","Dwight Howard","LAL","34","18","16","100%","2.2","3.2","68.4","69.3","96.5%","2.1","3.1","69.1","3.5%","0.1","0.1","50.0","2019-2020"
"123","Khem Birch","ORL","27","5","5","100%","1.4","2.8","50.0","50.0","100%","1.4","2.8","50.0","0.0%","0.0","0.0","-","2019-2020"
"124","Meyers Leonard","MIA","28","3","3","100%","1.7","2.7","62.5","75.0","50.0%","1.0","1.3","75.0","50.0%","0.7","1.3","50.0","2019-2020"
"125","Nerlens Noel","OKC","26","7","6","100%","1.1","2.4","47.1","47.1","94.1%","1.1","2.3","50.0","5.9%","0.0","0.1","0.0","2019-2020"
"126","Robert Williams III","BOS","22","13","11","100%","1.8","2.4","74.2","74.2","96.8%","1.8","2.3","76.7","3.2%","0.0","0.1","0.0","2019-2020"
"127","JaVale McGee","LAL","32","14","12","100%","1.4","2.3","62.5","62.5","93.8%","1.4","2.1","66.7","6.3%","0.0","0.1","0.0","2019-2020"
"128","Bol Bol","DEN","20","4","3","100%","1.3","2.3","55.6","66.7","66.7%","0.8","1.5","50.0","33.3%","0.5","0.8","66.7","2019-2020"
