,PLAYER,Season,AST%,FG%,REB%,STL%,BLK%,AST0%
1,Giannis Antetokounmpo,2021,0.511278195,0.491,0.759358289,0.194444444,0.302325581,0.511278195
2,Luka Doncic,2021,0.481203008,0.455,0.524064171,0.5,0.139534884,0.481203008
3,Nikola Jokic,2021,0.436090226,0.575,0.705882353,0.444444444,0.23255814,0.436090226
4,Jimmy Butler,2021,0.345864662,0.506,0.395721925,0.583333333,0.139534884,0.345864662
5,Stephen Curry,2021,0.443609023,0.459,0.278074866,0.361111111,0.093023256,0.443609023
6,Ja Morant,2021,0.736842105,0.44,0.427807487,0.555555556,0.093023256,0.736842105
7,Brandon Ingram,2021,0.466165414,0.475,0.331550802,0.194444444,0.069767442,0.466165414
8,Kevin Durant,2021,0.473684211,0.386,0.310160428,0.277777778,0.069767442,0.473684211
9,Jayson Tatum,2021,0.466165414,0.426,0.35828877,0.333333333,0.209302326,0.466165414
10,Donovan Mitchell,2021,0.428571429,0.398,0.229946524,0.194444444,0.11627907,0.428571429
11,Anthony Edwards,2021,0.22556391,0.455,0.22459893,0.333333333,0.279069767,0.22556391
12,Joel Embiid,2021,0.157894737,0.484,0.572192513,0.111111111,0.186046512,0.157894737
13,Devin Booker,2021,0.330827068,0.451,0.256684492,0.138888889,0.093023256,0.330827068
14,Jaylen Brown,2021,0.263157895,0.47,0.368983957,0.305555556,0.093023256,0.263157895
15,Pascal Siakam,2021,0.436090226,0.477,0.385026738,0.333333333,0.23255814,0.436090226
16,CJ McCollum,2021,0.360902256,0.392,0.35828877,0.194444444,0.186046512,0.360902256
17,Karl-Anthony Towns,2021,0.165413534,0.488,0.577540107,0.194444444,0.465116279,0.165413534
18,Jalen Brunson,2021,0.278195489,0.466,0.245989305,0.222222222,0.023255814,0.278195489
19,Kyrie Irving,2021,0.398496241,0.444,0.28342246,0.5,0.302325581,0.398496241
20,De'Andre Hunter,2021,0.045112782,0.557,0.203208556,0.222222222,0.046511628,0.045112782
21,DeMar DeRozan,2021,0.360902256,0.411,0.288770053,0.5,0.093023256,0.360902256
22,Tyrese Maxey,2021,0.293233083,0.484,0.187165775,0.222222222,0.046511628,0.293233083
23,Nikola Vucevic,2021,0.240601504,0.44,0.663101604,0.111111111,0.279069767,0.240601504
24,Zach LaVine,2021,0.45112782,0.429,0.28342246,0.222222222,0.069767442,0.45112782
25,Jrue Holiday,2021,0.488721805,0.379,0.299465241,0.5,0.139534884,0.488721805
26,Klay Thompson,2021,0.172932331,0.429,0.20855615,0.305555556,0.162790698,0.172932331
27,Desmond Bane,2021,0.165413534,0.478,0.203208556,0.25,0.186046512,0.165413534
28,James Harden,2021,0.646616541,0.405,0.304812834,0.222222222,0.162790698,0.646616541
29,Bojan Bogdanovic,2021,0.127819549,0.481,0.22459893,0.083333333,0,0.127819549
30,Deandre Ayton,2021,0.127819549,0.64,0.475935829,0.111111111,0.186046512,0.127819549
31,Chris Paul,2021,0.62406015,0.561,0.22459893,0.416666667,0.046511628,0.62406015
32,Jordan Clarkson,2021,0.097744361,0.548,0.171122995,0.138888889,0.046511628,0.097744361
33,OG Anunoby,2021,0.187969925,0.476,0.213903743,0.277777778,0.046511628,0.187969925
34,Jordan Poole,2021,0.285714286,0.508,0.14973262,0.222222222,0.093023256,0.285714286
35,Tobias Harris,2021,0.218045113,0.5,0.406417112,0.305555556,0.186046512,0.218045113
36,Andrew Wiggins,2021,0.135338346,0.469,0.401069519,0.277777778,0.23255814,0.135338346
37,Marcus Smart,2021,0.443609023,0.405,0.240641711,0.333333333,0.046511628,0.443609023
38,Jaren Jackson Jr.,2021,0.067669173,0.378,0.363636364,0.222222222,0.581395349,0.067669173
39,Trae Young,2021,0.45112782,0.319,0.267379679,0.166666667,0,0.45112782
40,Gary Trent Jr.,2021,0.097744361,0.378,0.090909091,0.277777778,0.11627907,0.097744361
41,Bam Adebayo,2021,0.203007519,0.594,0.427807487,0.277777778,0.162790698,0.203007519
42,Dillon Brooks,2021,0.203007519,0.349,0.144385027,0.277777778,0.069767442,0.203007519
43,Jonas Valanciunas,2021,0.22556391,0.485,0.764705882,0.194444444,0.046511628,0.22556391
44,Khris Middleton,2021,0.526315789,0.417,0.267379679,0.416666667,0,0.526315789
45,Seth Curry,2021,0.22556391,0.564,0.13368984,0.083333333,0.186046512,0.22556391
46,Bogdan Bogdanovic,2021,0.22556391,0.408,0.256684492,0.083333333,0.069767442,0.22556391
47,Spencer Dinwiddie,2021,0.270676692,0.417,0.128342246,0.222222222,0.069767442,0.270676692
48,Bruce Brown,2021,0.210526316,0.568,0.256684492,0.361111111,0.186046512,0.210526316
49,Monte Morris,2021,0.406015038,0.49,0.117647059,0.333333333,0,0.406015038
50,Aaron Gordon,2021,0.195488722,0.426,0.385026738,0.111111111,0.279069767,0.195488722
51,Will Barton,2021,0.210526316,0.409,0.299465241,0.222222222,0.046511628,0.210526316
