"","PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM%","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","Season"
"1","Giannis Antetokounmpo","MIL",27,12,7,5,37.3,31.7,11.7,23.8,49.1,0.8,3.4,22,7.6,11.2,67.9,2.2,12,14.2,6.8,4.5,0.7,1.3,3.6,60,"2021-2022"
"2","Luka Doncic","DAL",23,15,7,8,36.8,31.7,10.7,23.5,45.5,3.4,9.9,34.5,6.9,9,77,0.7,9.1,9.8,6.4,3.9,1.8,0.6,2.9,56.3,"2021-2022"
"3","Nikola Jokic","DEN",27,5,1,4,34.2,31,12.2,21.2,57.5,1,3.6,27.8,5.6,6.6,84.8,3.4,9.8,13.2,5.8,4.8,1.6,1,4,58.5,"2021-2022"
"4","Jimmy Butler","MIA",32,17,10,7,37,27.4,9.8,19.3,50.6,1.4,4,33.8,6.5,7.8,84.1,2.4,4.9,7.4,4.6,1.5,2.1,0.6,1.5,49.8,"2021-2022"
"5","Stephen Curry","GSW",34,22,16,6,34.7,27.4,9.2,20,45.9,4.1,10.4,39.7,4.9,5.9,82.9,0.5,4.7,5.2,5.9,2.6,1.3,0.4,2.7,44.9,"2021-2022"
"6","Ja Morant","MEM",22,9,5,4,37.5,27.1,9,20.4,44,1.9,5.6,34,7.2,9.7,74.7,1.4,6.6,8,9.8,3.6,2,0.4,2.4,55.2,"2021-2022"
"7","Brandon Ingram","NOP",24,6,2,4,39.3,27,9.3,19.7,47.5,1.8,4.5,40.7,6.5,7.8,83,0.7,5.5,6.2,6.2,3.8,0.7,0.3,1.8,42.8,"2021-2022"
"8","Kevin Durant","BKN",33,4,0,4,44,26.3,8,20.8,38.6,1.8,5.3,33.3,8.5,9.5,89.5,0.5,5.3,5.8,6.3,5.3,1,0.3,3.8,41,"2021-2022"
"9","Jayson Tatum","BOS",24,24,14,10,41,25.6,8.4,19.7,42.6,3.2,8.2,39.3,5.7,7.1,80,1,5.7,6.7,6.2,4.2,1.2,0.9,3,45,"2021-2022"
"10","Donovan Mitchell","UTA",25,6,2,4,38.2,25.5,8.8,22.2,39.8,1.7,8,20.8,6.2,7,88.1,1,3.3,4.3,5.7,2.7,0.7,0.5,2.3,40,"2021-2022"
"11","Anthony Edwards","MIN",20,6,2,4,37.8,25.2,8.3,18.3,45.5,3.8,9.5,40.4,4.7,5.7,82.4,0.7,3.5,4.2,3,2.5,1.2,1.2,3.7,39.2,"2021-2022"
"12","Joel Embiid","PHI",28,10,6,4,38.5,23.6,7.8,16.1,48.4,0.7,3.3,21.2,7.3,8.9,82,2.1,8.6,10.7,2.1,3.2,0.4,0.8,3.4,40,"2021-2022"
"13","Devin Booker","PHX",25,10,5,5,36.6,23.3,7.9,17.5,45.1,2.8,6.5,43.1,4.7,5.3,88.7,1,3.8,4.8,4.4,3.2,0.5,0.4,2.5,35.2,"2021-2022"
"14","Jaylen Brown","BOS",25,24,14,10,38.3,23.1,8.2,17.5,47,2.5,6.7,37.3,4.2,5.5,76.3,1.4,5.5,6.9,3.5,3.1,1.1,0.4,3,38.2,"2021-2022"
"15","Pascal Siakam","TOR",28,6,2,4,43.4,22.8,8.5,17.8,47.7,0.7,2.8,23.5,5.2,6,86.1,1.3,5.8,7.2,5.8,2.2,1.2,1,4,44.5,"2021-2022"
"16","CJ McCollum","NOP",30,6,2,4,39,22.2,8.2,20.8,39.2,2.8,8.5,33.3,3,4.3,69.2,1.8,4.8,6.7,4.8,2.5,0.7,0.8,2.5,39.4,"2021-2022"
"17","Karl-Anthony Towns","MIN",26,6,2,4,36.9,21.8,6.5,13.3,48.8,1.7,3.7,45.5,7.2,8.3,86,1.8,9,10.8,2.2,4.5,0.7,2,4.2,41.6,"2021-2022"
"18","Jalen Brunson","DAL",25,18,9,9,35,21.6,8.1,17.3,46.6,1.4,4.2,34.7,4,5,80,0.8,3.8,4.6,3.7,1.1,0.8,0.1,2.1,34,"2021-2022"
"19","Kyrie Irving","BKN",30,4,0,4,42.6,21.3,7,15.8,44.4,2,5.3,38.1,5.3,5.3,100,1.5,3.8,5.3,5.3,2.3,1.8,1.3,3.3,42.2,"2021-2022"
"20","De'Andre Hunter","ATL",24,5,1,4,34.9,21.2,7.8,14,55.7,2.4,5.2,46.2,3.2,4,80,0.4,3.4,3.8,0.6,2.2,0.8,0.2,4,27.5,"2021-2022"
"21","DeMar DeRozan","CHI",32,5,1,4,40.7,20.8,7.8,19,41.1,0,1.8,0,5.2,6,86.7,0.2,5.2,5.4,4.8,2.2,1.8,0.4,2.4,38.9,"2021-2022"
"22","Tyrese Maxey","PHI",21,12,6,6,40.4,20.8,7.3,15.2,48.4,2.2,5.8,37.7,3.9,4.2,94,0.5,3,3.5,3.9,1.8,0.8,0.2,2,31.8,"2021-2022"
"23","Nikola Vucevic","CHI",31,5,1,4,36.2,19.4,8,18.2,44,2.6,8.4,31,0.8,1,80,2.8,9.6,12.4,3.2,1.6,0.4,1.2,2.8,42.3,"2021-2022"
"24","Zach LaVine","CHI",27,4,1,3,38.1,19.3,6.8,15.8,42.9,2.3,6,37.5,3.5,3.8,93.3,0,5.3,5.3,6,3,0.8,0.3,2.3,34.6,"2021-2022"
"25","Jrue Holiday","MIL",32,12,7,5,38.6,19.1,7.4,19.6,37.9,2.1,6.6,31.6,2.2,2.6,83.9,1,4.6,5.6,6.5,2.8,1.8,0.6,2.3,39.7,"2021-2022"
"26","Klay Thompson","GSW",32,22,16,6,36,19,7.2,16.7,42.9,3.5,9.1,38.5,1.2,1.4,86.7,0.3,3.6,3.9,2.3,1.3,1.1,0.7,2.1,31.2,"2021-2022"
